time_ms,chat_message
507138,강현이처럼 한번 만들어줄까?
507369,콘돔...
508415,38000개 썼는데 안뜸
510217,삼식이 꺾인거아니냐
511808,포기라기엔 몇십시간째 돌리던데 ㅋㅋㅋㅋㅋㅋ
512439,물쥐는 언제야
513947,님은 다 띄우셨나요?
518372,오
518771,?
519149,오옹?
519318,어흐
519437,어흐
520289,근데 절반이
520344,어흐
520404,ㅅㅂ?
521691,?
522117,오...
522275,어흐
522944,이건 명작인데요
523847,근데 혼테일 잡는거 약간 산악회 카멘잡을때마냥 만담회된거 같던데
523993,ㅇㅇ
524580,ㅈㄴ 크다
524925,ㅇㅇ
525011,와
525080,뭔데 저게
527028,그 정돈가
527169,와
527176,야애니임?
527371,네
527724,맘마
528071,첨 보는데
528215,야애니임?
528410,"좋구나,,,"
528532,저게뭔데
529615,첨보는데
530156,꼬추 얼어서 부셔지면 어쩌냐
531253,이쁘긴 하네
531462,크다
531501,어흐
531637,오
531837,첨 보는데
532284,{:d_108:}{:d_108:}
532903,저게 뭔데
533851,아 야애니가아니라고
534280,신세 많이졌지
536059,저게뭐임
536460,그게 뭔데 십덕아
539009,저거로 한 30번 쳤지 ㅇㅇ
539616,설녀누나는 ㅇㅈ이지
541007,야애니가 아니면 왜봐
542892,CEX
543648,으흐흐흐흐
545449,설녀누나..
551584,글 ㅈㄴ 대충보네
552487,넌 필요없지
554508,엄
555444,야애니 아니라니까 표정 싹 바뀌네
556264,아오 ㅅㅂ ㅋㅋ
561643,다 맛있어보이는데
562615,물빠진고기는 에바긴해
565921,위험하지않나?
566266,저거 좀 그럼
566620,생간 맛있어보여
567323,파카
567760,청국장이왜저깄노
568664,난싫음
569175,파카
570227,ㄹㅇ
570512,생간 찰떡하니 맛있는디
570630,지환아 송출컴에 로긴좀해줘봐; 이거왜 로긴이 풀려있냐
572516,민초를 싫어해?
573525,홍어 극혐
574761,?
576195,맛잘알
576647,피자빵??
577974,민초를싫어해?
578710,형이다
579362,오이 극혐
579510,건포도에바
579723,건포도극혐
582054,지환아 로긴좀해라
582571,물쥐형 왔구나 안녕
582641,생선까스 존맛인데
582764,ㄹㅇㅋㅋㅋㅋ
583532,구울
583630,굴
584339,김치는 머냐;
584696,민초 개꿀맛
585248,가지으악
585675,다 호인데?
586646,ㄷㄷ
586824,맛있는거만 모아놨네
587729,김치는 뭐임?
587820,굴은좀
587911,굴 ㅇㅈ 개극혐임 ㅋㅋ
588021,생굴 개 맛도리인데
588315,헉
588556,로긴 해라 물쥐야
588936,굴깨극혐
588977,생굴 존맛인데
590133,김치를 싫어할수 있나?
590208,해물 극혐
590238,생굴 우욱
590537,ㄹㅇ 나도 굴안먹음
590826,님들 채팅창좀고칠게요 폰트가 이상해져서;
590940,{:monsMonsHaha:}
591124,김치는 왜잇냐
592669,멸치가 뭘 알겠냐 에휴 씨
593638,굴ㅋㅋ
594745,생굴은 쩜.....
595153,대창 모양이...
596019,가지튀김 말고는 못먹겠따
596224,캬
596468,굴 ㄹㅇ씹호인데
596606,가지 극혐
597361,이칸은 불호가 없는데
597429,넴
597670,넵
597830,넵
598112,대창은 많이 먹는 거 아니면 고트인데
598765,넵
599199,넵
599446,굴단온다
599525,생굴 호불호 갈리지
599854,{:d_45:}
600655,김치 싫어하는건 뭐지요
600674,폰트 이상하긴 하네
600807,생굴에 초장 싸악 해서 소주 한잔
601175,ㅇㅇ
601260,넵
601670,굴 근데 맛있음?
601956,가지 개 씹씹씹씹 불호
601978,가지 대창 뺴고 굿
603243,로긴 해라
603272,가지 오이는 음식아님
603837,그러네 폰트 왜이러지
604924,생굴 잘못먹으면 개망함
605925,폰트 에바야
606466,이대로 살자
607117,굴!ㅋㅋ
607389,굴 개극혐;;
607911,굴림체
609591,오이 ㅅㅂ
610948,저거 폰트 안고치먼 하루종일 물어본다
610961,물쥐 근데 생선 안 먹지 않나
611075,{:d_91:}
611136,굴보쌈에 굴이 생굴아닌가 개맛도린데
611725,굴 맛있는데
613056,굴맛있는뎅
613267,?
613936,나도 비려서 안먹음
614003,난 오이 굴 대창 불호
614221,나도
615824,바이러스 걸림
615879,생굴 ㅈ같음
616035,막창을?
616720,노로바이러스
617222,?
617563,굴은 포차에서 먹어야해 {:d_94:}
617700,?
617824,ㄹㅇ
617849,?
617936,?
617989,?????????????
618083,엥
618154,ㄹㅇ
618260,바로 노로바이러스임
618373,폰트죽일뻔햇어 휴
619059,생국 김치에도 들어가는데 ;;;;
619062,오이향ㅅㅂ
619859,곱은맛있는데
620105,?
621099,굴 애초에 생으로 먹으면 안되메
621169,ㄹㅇ
621387,ㅋㅋ
621511,5252
621697,똥터널을 왜먹지
621982,ㅇㅈ
622056,오이 개시러
622117,똥을 왜먹냐 ㅋㅋ
622170,에겐남이네요
622507,?????
622707,ㄹㅇ
622889,?
623110,??
623355,오이 ㅈㄴ싫어
623586,된장찍어먹으면 캬
624158,난 다 괜찮은데
624614,고수쌀국수 쉽지않음
624693,오이 맛있음
624813,내장 좋아하는건 없어?
624867,오이 니나쳐먹어
625587,?
625594,또 늦었네
625670,{:d_73:}
625691,뭐라는거지 이 멸치가 ???
626208,멸치년
626670,?
626752,??????
626760,?
