time_ms,chat_message
1780571019642,책보는 악마 ㅋㅋㅋ
1780571020220,책읽는 악마
1780571021283,ㅋㅋㅋㅋㅋ
1780571022372,야 쟤 책본다
1780571023217,책으로 때린거아님?
1780571023314,ㅋㅋㅋㅋ
1780571024828,ㅋㅋㅋㅋㅋㅋ 책보믄악마
1780571025168,ㅋㅋㅋㅋㅋ
1780571025432,야 너 모범생척 하지마라
1780571025629,오
1780571026597,공부는 다른 문제긴해
1780571027417,올
1780571027444,야 뭔책을보냐
1780571028524,책읽는양아치
1780571028640,뭔 악마야 원숭이같은게{:d_115:}
1780571028762,만화책
1780571033265,책 먹는 여우
1780571035194,책을봤다했지 지구를봤다했냐
1780571037798,뽀림?
1780571038828,룩버지의 큰그림
1780571041834,야설임?
1780571043959,룩삼 야호~
1780571044801,?
1780571045785,?
1780571045905,?
1780571045968,헉
1780571046581,훔쳐옴
1780571046708,무단대여 ㅋㅋㅋㅋ
1780571046777,뽀리기;;
1780571048531,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1780571048997,?
1780571050618,뽀리기;
1780571051914,{:d_116:}{:d_116:}{:d_116:}
1780571052006,?
1780571053603,그냥 가져오거나는 뭐야
1780571054029,긴빠이 ㅋㅋㅋ
1780571055185,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1780571055608,마법천자문 아님?
1780571055919,공소시효 지남 ㄱㅊ
1780571056416,캬
1780571057084,ㅋㅋㅋㅋㅋ
1780571057179,헉
1780571057376,ㅋㅋㅋㅋㅋㅋㅋ
1780571058368,NN
1780571060041,부모님 국룩
1780571060922,{:d_116:}{:d_116:}{:d_116:}{:d_116:}
1780571061474,{:d_44:}{:d_44:}{:d_44:}
1780571062848,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1780571062951,ㅋㅋㅋㅋㅋ
1780571063810,ㅋㅋㅋㅋㅋㅋㅋ
1780571063943,그래서 안읽었어
1780571064101,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1780571064377,{:d_126:}{:d_126:}{:d_126:}
1780571065056,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1780571066921,그래서 담배 가르쳐준거구나
1780571067410,ㅋㅋㅋㅋㅋ
1780571068357,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1780571069061,뭔 책이여
1780571069718,기믹 ㅋㅋ
1780571069751,래퍼는 기믹이야
1780571069839,기믹 ㅋㅋㅋ
1780571070020,컨셉질
1780571070148,기믹래퍼
1780571071157,기믹 ㅋㅋㅋㅋ
1780571071321,기믹이셔
1780571071813,기믹 당첨 ㅋㅋ
1780571072263,기믹ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1780571072583,{:d_117:}{:d_117:}{:d_117:}{:d_117:}{:d_117:}
1780571072878,{:dogcakeDANCE:}{:dogcakeDANCE:}
1780571073336,래퍼ㅏ셔
1780571073754,이거완전 군대간 룩삼이네요
1780571073788,용서받지 못한자
1780571075672,기믹 랩퍼 ㅋㅋ
1780571077465,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1780571078340,만화책이나 보라구
1780571079086,그래서 게임과 힙합과 담배를 배운
1780571082344,기믹질을 그때부터 함?
1780571086164,책 많이읽어도 지평설을 밀다니
1780571087967,무슨책읽음?
1780571107032,다중언어 가르치느게 좋음
1780571107875,한국어도 개잘하잖어
1780571108311,나루토 vs 하루토
1780571109174,ㄹㅇ
1780571112812,어릴때 하는게좋음
1780571113713,괜히 영어유치원 보내고 그런게 아니긴해
1780571114645,그래서 한국말 잘하는듯
1780571114784,배우는 속도가 다르지
1780571116390,습득이 빠르제
1780571117582,다 흡수하는시기
1780571119851,새거라서
1780571120118,그래서 영어유치원보내잖아
1780571120201,어릴때가 흡수력이 젤 좋긴함
1780571120853,리센느????!!!
1780571121099,미나미도 그럼
1780571122105,영유가 있는이유
1780571124702,어릴때가 스펀지임
1780571127183,오
1780571129902,나도
1780571129996,누가 내 머리위에 똥쌌어
1780571130388,어렸을때 들은 노래는 안외운가사도 그냥 다 기억나잖아 신기해
1780571131396,어릴때 자기계발서 읽을 필욘 없지
1780571133245,나도 자기계발서 싫어함
1780571133312,야호
1780571133843,그것도 똑똑한 애들만 가능하지
1780571134505,왜 자기계발서는 안 읽음?
1780571134507,좋다
1780571136877,자기개발서는 joat임
1780571137405,나도 나중에 여유있으면 영어유치원보낼듯
1780571137915,쓰레기인거 간파함?
1780571138149,과학콘서트 ㄷㄷ
1780571139801,의외인데
1780571139861,삼국지?
1780571140123,의외로 책을 읽었네
1780571146256,자기계발서는 읽어도 이해 안되는거 많긴함
1780571149337,제일 기억에 남았던 책 있은?
1780571149600,라드형 책 읽음?
1780571150575,훈지는 듣기싫어서
1780571151824,그거 애들이 읽는거 아니야
1780571152997,그때도 어렴풋이 알고 있었던거 아닐까?ㅋㅋㅋㅋ
1780571153552,나는 내가 발전해
1780571155455,나도 안읽는데
1780571155637,그건 다 그래
1780571155796,ㅋㅋㅋㅋㅋㅋㅋ
1780571155871,ㅋㅋㅋㅋㅋㅋ
1780571156117,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1780571156192,형토링
1780571156395,훈수
1780571157997,그때당시 자기계발서 ㄹㅇ 내용없었음
1780571158012,그래보여
1780571158272,에고가강하다?
1780571158700,adhd 약 안먹어서
1780571159024,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
1780571159495,ㄹㅇ
1780571159851,총공쇠도 읽음?
1780571160128,반골 기질
1780571160135,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ\
1780571160420,자기개발서 대부분은 쓰레기임
1780571161388,훈수 니은;
1780571161552,약간 교훈송 엔딩?
1780571161815,나도그래
1780571162044,자기계발서 = 그냥 당연한 소리만 함
1780571162819,ADHD
1780571163869,ㄹㅜㄱ하
1780571163919,별 의미도 넚음 읽어도
1780571165226,자기계발서 걍 아무내용없는책아닌가
1780571165286,나도
1780571168583,훈수 좋아하는사람이 드물어
1780571169329,자기계발서 그냥 어른들 하는 얘기 그대로 글로 적은거임
1780571169903,한양대 선임 1패
1780571171294,자기개발서=돈 내고 시간 버리면서 훈수듣기
1780571171724,지구는 둥글어
1780571174880,why책 좋아했는데 ㅋㅋ
1780571176936,블랙워그레이몬임?
1780571177159,그때 자기계발서 그냥 한문장 1권으로 늘린 쓰레기많았음ㅋㅋ
1780571177378,여기서도 한양대 1패
